"cre_label","dissection_label","area_of_dissection","subregion_dissection","driver_1","driver_2","reporter","cells_collected","cre_name","originating_lab","public_repository","stock_number","institute_link","conn_institute_link","ctdb_institute_link","line2_originating_lab","line2_public_repository","line2_stock_number","line2_institute_link","line2_conn_institute_link","line2_ctdb_institute_link","reporter_name","reporter_label","reporter_origininating_lab","reporter_primary_reference","reporter_generation_method","reporter_geneomic_locus","reporter_public_repository","reporter_stock_number","reporter_strain_name","cre_line_order","driver_2_cre_name"
"Ndnf","L1","VISp","Layer 1","Ndnf","none","Ai14","tdT+","Ndnf-IRES2-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ndnf-IRES2-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",1,""
"Ndnf Neg","L1","VISp","Layer 1","Ndnf","none","Ai14","tdT-","Ndnf-IRES2-dgCre","Allen Institute for Brain Science","N/A","N/A","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Ndnf-IRES2-dgCre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",1,""
"Htr3a","all","VISp","All layers","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",2,""
"Htr3a","upper","VISp","Layers 1-4","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",3,""
"Htr3a","lower","VISp","Layers 5-6","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",4,""
"Htr3a","L6b","VISp","Layer 6b","Htr3a","none","Ai14","tdT+","Htr3a-Cre_NO152","Nathaniel Heintz and Charles Gerfen ","MMRRC","036680","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Htr3a-Cre_NO152","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=298341195","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Htr3a-Cre_NO152"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",5,""
"Vip","all","VISp","All layers","Vip","none","Ai14","tdT+","Vip-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010908","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Vip-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838622","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",6,""
"Vip","upper","VISp","Layers 1-4","Vip","none","Ai14","tdT+","Vip-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010908","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Vip-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838622","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",7,""
"Vip","lower","VISp","Layers 5-6","Vip","none","Ai14","tdT+","Vip-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010908","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Vip-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838622","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",8,""
"Calb2","all","VISp","All layers","Calb2","none","Ai14","tdT+","Calb2-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010774","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Calb2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837281","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",9,""
"Calb2","upper","VISp","Layers 1-4","Calb2","none","Ai14","tdT+","Calb2-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010774","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Calb2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837281","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",10,""
"Calb2","lower","VISp","Layers 5-6","Calb2","none","Ai14","tdT+","Calb2-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010774","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Calb2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837281","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",11,""
"Chat","all","VISp","All layers","Chat","none","Ai14","tdT+","Chat-IRES-Cre","Bradford Lowell","The Jackson Laboratory","006410","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Chat-IRES-Cre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",12,""
"Nos1","all","VISp","All layers","Nos1","none","Ai14","tdT+","Nos1-CreERT2","Z. Josh Huang","The Jackson Laboratory","014541","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Nos1-CreERT2","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177839406","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",13,""
"Sst","all","VISp","All layers","Sst","none","Ai14","tdT+","Sst-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","013044","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Sst-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838710","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Sst-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",14,""
"Sst","upper","VISp","Layers 1-4","Sst","none","Ai14","tdT+","Sst-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","013044","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Sst-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838710","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Sst-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",15,""
"Sst","lower","VISp","Layers 5-6","Sst","none","Ai14","tdT+","Sst-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","013044","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Sst-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838710","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Sst-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",16,""
"Chrna2","all","VISp","All layers","Chrna2","none","Ai14","tdT+","Chrna2-Cre_OE25","Nathaniel Heintz and Charles Gerfen","MMRRC","036502","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Chrna2-Cre_OE25","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=182693192","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",17,""
"Chrna2","L6","VISp","Layer 6","Chrna2","none","Ai14","tdT+","Chrna2-Cre_OE25","Nathaniel Heintz and Charles Gerfen","MMRRC","036502","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Chrna2-Cre_OE25","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=182693192","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",18,""
"PvalbD-Slc32a1","all","VISp","All layers","PvalbD","Slc32a1","Ai66D","tdT+","Pvalb-2A-DreO","Allen Institute for Brain Science","The Jackson Laboratory ","021190","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Pvalb-2A-DreO","","","Brad Lowell","The Jackson Laboratory ","012897","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Slc32a1-IRES-Cre","","","RCRL-tdT","Ai66D","Allen Institute for Brain Science","Madisen et al., Neuron 2015","Knock-in","Rosa26","The Jackson Laboratory ","21876","B6;129S-Gt(ROSA)26Sortm66.1(CAG-tdTomato)Hze/J",19,"Slc32a1-IRES-Cre"
"PvalbF-Gad2","all","VISp","All layers","PvalbF","Gad2","Ai65D","tdT+","Pvalb-2A-FlpO","Allen Institute for Brain Science","The Jackson Laboratory ","022730","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Pvalb-2A-FlpO","","","Z. Josh Huang","The Jackson Laboratory","010802","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Gad2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838584","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Gad2-IRES-Cre"",""facet_apical"":""NA,intact""}}","RCFL-tdT","Ai65D","Allen Institute for Brain Science","Madisen et al., Neuron 2015","Knock-in","Rosa26","The Jackson Laboratory ","21875","B6;129S-Gt(ROSA)26Sortm65.1(CAG-tdTomato)Hze/J",20,"Gad2-IRES-Cre"
"PvalbF-Gad2","upper","VISp","Layers 1-4","PvalbF","Gad2","Ai65D","tdT+","Pvalb-2A-FlpO","Allen Institute for Brain Science","The Jackson Laboratory ","022730","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Pvalb-2A-FlpO","","","Z. Josh Huang","The Jackson Laboratory","010802","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Gad2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838584","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Gad2-IRES-Cre"",""facet_apical"":""NA,intact""}}","RCFL-tdT","Ai65D","Allen Institute for Brain Science","Madisen et al., Neuron 2015","Knock-in","Rosa26","The Jackson Laboratory ","21875","B6;129S-Gt(ROSA)26Sortm65.1(CAG-tdTomato)Hze/J",21,"Gad2-IRES-Cre"
"PvalbF-Gad2","lower","VISp","Layers 5-6","PvalbF","Gad2","Ai65D","tdT+","Pvalb-2A-FlpO","Allen Institute for Brain Science","The Jackson Laboratory ","022730","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Pvalb-2A-FlpO","","","Z. Josh Huang","The Jackson Laboratory","010802","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Gad2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838584","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Gad2-IRES-Cre"",""facet_apical"":""NA,intact""}}","RCFL-tdT","Ai65D","Allen Institute for Brain Science","Madisen et al., Neuron 2015","Knock-in","Rosa26","The Jackson Laboratory ","21875","B6;129S-Gt(ROSA)26Sortm65.1(CAG-tdTomato)Hze/J",22,"Gad2-IRES-Cre"
"Pvalb","all","VISp","All layers","Pvalb","none","Ai14","tdT+","Pvalb-IRES-Cre","Silvia Arber","The Jackson Laboratory","008069","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Pvalb-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837858","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Pvalb-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",23,""
"Pvalb","upper","VISp","Layers 1-4","Pvalb","none","Ai14","tdT+","Pvalb-IRES-Cre","Silvia Arber","The Jackson Laboratory","008069","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Pvalb-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837858","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Pvalb-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",24,""
"Pvalb","lower","VISp","Layers 5-6","Pvalb","none","Ai14","tdT+","Pvalb-IRES-Cre","Silvia Arber","The Jackson Laboratory","008069","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Pvalb-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177837858","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Pvalb-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",25,""
"Nkx2-1","upper","VISp","Layers 1-4","Nkx2-1","none","Ai14","tdT+","Nkx2-1-CreERT2","Z. Josh Huang","The Jackson Laboratory","014552","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Nkx2-1-CreERT2","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",26,""
"Nkx2-1","lower","VISp","Layers 5-6","Nkx2-1","none","Ai14","tdT+","Nkx2-1-CreERT2","Z. Josh Huang","The Jackson Laboratory","014552","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Nkx2-1-CreERT2","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",27,""
"Tac2","all","VISp","All layers","Tac2","none","Ai14","tdT+","Tac2-IRES2-Cre","Allen Institute for Brain Science","The Jackson Laboratory","021878","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Tac2-IRES2-Cre","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",28,""
"Gad2","all","VISp","All layers","Gad2","none","Ai14","tdT+","Gad2-IRES-Cre","Z. Josh Huang","The Jackson Laboratory","010802","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Gad2-IRES-Cre","$CONN$/?searchMode=source&sourceDomain=385&primaryStructureOnly=true&transgenicLines=177838584","$CTDB$/?q={""mode"":""ephys"",""chart"":{},""filters"":{""facet_cre_line"":""Gad2-IRES-Cre"",""facet_apical"":""NA,intact""}}","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",29,""
"Cux2","all","VISp","All layers","Cux2","none","Ai14","tdT+","Cux2-CreERT2","Ulrich Mueller","MMRRC","032779","$TRANSGENE$/transgenic/search?search_type=line-name&search_term=Cux2-CreERT2","","","","","","","","","RCL-tdT","Ai14","Allen Institute for Brain Science","Madisen et al., Nat. Neu. 2010","Knock-in","Rosa26","The Jackson Laboratory ","7908","B6;129S6-Gt(ROSA)26Sortm14(CAG-tdTomato)Hze/J",30,""
